id,name,round,homeTeam,awayTeam,time,venue,clash
596988,14A Girls 2022,1,SBL Wolves Black,Blackburn ,11:25,Belgrave South Recreation Reserve,
596972,12A 2022,1,South Croydon,Wantirna South Green,11:25,Benson Oval,
596972,12A 2022,1,Glen Waverley Rovers,Blackburn Black,11:25,Brentwood Reserve,
596987,13C 2022,1,Lysterfield Grey,Glen Waverley Hawks ,11:25,Carrington Park,
596964,12D 2022,1,Upper Ferntree Gully,Vermont Gold,11:25,Dobson Park,
596972,12A 2022,1,Lysterfield Teal,Norwood ,11:25,Eildon Park,
597006,13B 2022,1,Rowville,Ringwood,11:25,Eildon Park,
596991,12B 2022,1,Montrose,Rowville,11:25,Elizabeth Bridge Reserve,
596988,14A Girls 2022,1,East Ringwood,Montrose,11:25,Glen Park,
596981,13D 2022,1,Heathmont ,Norwood Purple,11:25,HE Parker Reserve,
596966,12C 2022,1,Ringwood,North Ringwood Black,11:25,Jubilee Park (Top Oval),
596980,13A Red 2022,1,Mooroolbark,Mitcham,11:25,Kiloran Park,
596983,14B Girls 2022,1,Chirnside Park,Heathmont,11:25,Kimberley Reserve,
596987,13C 2022,1,Chirnside Park,Donvale,11:25,Kimberley Reserve,
596983,14B Girls 2022,1,Knox,Mitcham,11:25,Knox Gardens Reserve,
596964,12D 2022,1,Lysterfield Grey,Kilsyth,11:25,Lakesfield Reserve,
596981,13D 2022,1,Fairpark,Boronia,11:25,Lewis Park,
607547,13A Black 2022,1,Vermont Purple,Wantirna South Green,11:25,Livingstone Primary School,
607547,13A Black 2022,1,Montrose Blue,North Ringwood Red,11:25,Montrose Recreation Reserve,
596964,12D 2022,1,Blackburn Red,Chirnside Park,11:25,Morton Park,
607547,13A Black 2022,1,Blackburn Black,East Ringwood,11:25,Morton Park,
596975,14C Girls 2022,1,Norwood,South Croydon,11:25,Mullum Mullum Reserve,
596966,12C 2022,1,South Belgrave,Waverley Blues,11:25,Narre Warren East Reserve,
597006,13B 2022,1,Kilsyth,East Burwood,11:25,Pinks Reserve,
596972,12A 2022,1,North Ringwood Red,Vermont Purple,11:25,Quambee Reserve,
596983,14B Girls 2022,1,North Ringwood,Rowville,11:25,Ringwood North Reserve,
596987,13C 2022,1,Rowville Knights,North Ringwood Black,11:25,Scoresby Recreation Reserve,
596981,13D 2022,1,Wantirna South White,Montrose Red,11:25,Templeton Reserve,
596991,12B 2022,1,Lilydale,Rowville Knights,11:25,The Gateway Reserve,
596975,14C Girls 2022,1,Boronia,SBL Wolves Teal,11:25,Tormore Reserve,
596991,12B 2022,1,Mitcham,Mooroolbark,11:25,Walker Park,
596980,13A Red 2022,1,Ferntree Gully Eagles,Lysterfield Teal,11:25,Wally Tew Reserve,
597011,8 South 2022,1,Boronia,Mitcham,12:00,Lewis Park,
597016,8 North 2022,1,North Ringwood White,Mooroolbark,12:00,Quambee Reserve,
596978,14D 2022,1,East Ringwood White,Kilsyth,12:55,Ainslie Park,
596986,14A 2022,1,Croydon,Vermont Purple,12:55,Barngeong Reserve,
596986,14A 2022,1,The Basin,Rowville Hawks,12:55,Batterham Reserve,
596982,15D 2022,1,Bayswater,Boronia,12:55,Bayswater Junior Oval,
596977,Deakin Uni 16C Girls 2022,1,SBL Wolves Teal,Blackburn Red,12:55,Belgrave South Recreation Reserve,
596973,14C 2022,1,South Croydon,Wantirna South,12:55,Benson Oval,
596982,15D 2022,1,Lysterfield Grey,Vermont Gold,12:55,Carrington Park,
597006,13B 2022,1,Upper Ferntree Gully,Glen Waverley Rovers,12:55,Dobson Park,
596968,15C 2022,1,Donvale,Glen Waverley Rovers,12:55,Donvale Reserve,
596970,Deakin Uni 16B Girls 2022,1,Endeavour Hills/Rowville,Heathmont,12:55,Eildon Park,
596982,15D 2022,1,Rowville Gold,Fairpark,12:55,Eildon Park,
596969,14B 2022,1,Montrose Blue,Waverley Blues,12:55,Elizabeth Bridge Reserve,
597014,17.5 B 2022,1,Forest Hill,Glen Waverley Rovers ,12:55,Forest Hill Reserve,
596970,Deakin Uni 16B Girls 2022,1,East Ringwood,Bayswater,12:55,Glen Park,
596993,15B 2022,1,Heathmont,The Basin,12:55,HE Parker Reserve,
596969,14B 2022,1,Mooroolbark,Ferntree Gully Eagles,12:55,Kiloran Park,
596978,14D 2022,1,Knox Black,Vermont Gold,12:55,Knox Gardens Reserve,
596986,14A 2022,1,Knox Red,East Ringwood Blue,12:55,Knox Gardens Reserve,
596992,15A 2022,1,Lysterfield Teal,Mitcham,12:55,Lakesfield Reserve,
597001,17.5 C 2022,1,Fairpark,Kilsyth/Boronia,12:55,Lewis Park,
596992,15A 2022,1,Vermont Purple,Rowville Brown,12:55,Livingstone Primary School,
596982,15D 2022,1,Montrose Red,Mooroolbark Gold,12:55,Montrose Recreation Reserve,
596978,14D 2022,1,Blackburn Red,Coldstream,12:55,Morton Park,
596986,14A 2022,1,Blackburn Black,North Ringwood Red,12:55,Morton Park,
596993,15B 2022,1,Waverley Blues,Mooroolbark Green,12:55,Mt Waverley Reserve,
596980,13A Red 2022,1,Norwood Black,The Basin,12:55,Mullum Mullum Reserve,
596973,14C 2022,1,South Belgrave,Noble Park,12:55,Narre Warren East Reserve,
596993,15B 2022,1,Noble Park,South Belgrave,12:55,Pat Wright Senior Oval,
596968,15C 2022,1,Kilsyth,South Croydon,12:55,Pinks Reserve,
596977,Deakin Uni 16C Girls 2022,1,Kilsyth,Montrose,12:55,Pinks Reserve,
596968,15C 2022,1,North Ringwood Black,Knox,12:55,Quambee Reserve,
596978,14D 2022,1,North Ringwood Black,Montrose Red,12:55,Ringwood North Reserve,
596969,14B 2022,1,Rowville Knights,East Burwood,12:55,Scoresby Recreation Reserve,
596988,14A Girls 2022,1,Wantirna South,Ferntree Gully Eagles,12:55,Templeton Reserve,
596973,14C 2022,1,Boronia,Upper Ferntree Gully,12:55,Tormore Reserve,
596984,Deakin Uni 18 Premier Girls 2022,1,Vermont,Blackburn,12:55,Vermont Recreation Reserve,
596986,14A 2022,1,Mitcham,Lysterfield ,12:55,Walker Park,
596970,Deakin Uni 16B Girls 2022,1,Ferntree Gully /Norwood,Wantirna South,12:55,Wally Tew Reserve,
596971,Deakin Uni 16A Girls 2022,1,Ferntree Gully Eagles Blue,Blackburn Black,12:55,Wally Tew Reserve,
596971,Deakin Uni 16A Girls 2022,1,Vermont,SBL Wolves Black,12:55,Whitehorse Reserve,
597001,17.5 C 2022,1,East Ringwood White,Coldstream,14:45,Ainslie Park,
597001,17.5 C 2022,1,Bayswater,Blackburn Red,14:45,Bayswater Junior Oval,
596967,Deakin Uni 18A Girls 2022,1,Glen Waverley Rovers,Rowville Knights/ Bayswater,14:45,Brentwood Reserve,
596989,16A 2022,1,Lysterfield ,Mitcham,14:45,Carrington Park,
596976,16B 2022,1,Coldstream,Ferntree Gully white,14:45,Coldstream Reserve,
596968,15C 2022,1,Upper Ferntree Gully,Blackburn Red,14:45,Dobson Park,
596976,16B 2022,1,East Burwood,Chirnside Park,14:45,East Burwood Reserve,
596984,Deakin Uni 18 Premier Girls 2022,1,Mooroolbark,Montrose,14:45,Kiloran Park,
596970,Deakin Uni 16B Girls 2022,1,Knox,North Ringwood,14:45,Knox Gardens Reserve,
597007,17.5 Premier 2022,1,Lysterfield Teal,Wantirna South Green,14:45,Lakesfield Reserve,
596989,16A 2022,1,Vermont Purple,Norwood,14:45,Livingstone Primary School,
597007,17.5 Premier 2022,1,Montrose ,Mooroolbark ,14:45,Montrose Recreation Reserve,
596992,15A 2022,1,Blackburn Black,East Ringwood ,14:45,Morton Park,
597007,17.5 Premier 2022,1,Blackburn Black,East Ringwood Blue,14:45,Morton Park,
596998,17.5 A 2022,1,Waverley Blues,Rowville ,14:45,Mt Waverley Reserve,
597014,17.5 B 2022,1,Noble Park,Vermont Gold,14:45,Pat Wright Senior Oval,
596976,16B 2022,1,Kilsyth,Glen Waverley Hawks,14:45,Pinks Reserve,
596992,15A 2022,1,North Ringwood Red,Montrose Blue,14:45,Quambee Reserve,
597014,17.5 B 2022,1,North Ringwood Black,Lysterfield Grey,14:45,Ringwood North Reserve,
596998,17.5 A 2022,1,Endeavour Hills ,Ferntree Gully Eagles,14:45,Singleton Reserve,
596967,Deakin Uni 18A Girls 2022,1,Wantirna South,Waverley Blues,14:45,Templeton Reserve,
596977,Deakin Uni 16C Girls 2022,1,Boronia,Mooroolbark ,14:45,Tormore Reserve,
597007,17.5 Premier 2022,1,Vermont Purple,North Ringwood Red,14:45,Vermont Recreation Reserve,
596998,17.5 A 2022,1,Mitcham,Lilydale ,14:45,Walker Park,
596989,16A 2022,1,Ferntree Gully Blue,Knox,14:45,Wally Tew Reserve,
596976,16B 2022,1,Vermont Gold,Mooroolbark,14:45,Whitehorse Reserve,
596967,Deakin Uni 18A Girls 2022,1,Emerald/ Monbulk,North Ringwood,14:45,Worrell Reserve,
596984,Deakin Uni 18 Premier Girls 2022,1,Mt Evelyn,SBL Wolves,15:30,Mt Evelyn Reserve,
597010,9 Black 2022,2,The Basin Red,Noble Park,9:00,Batterham Reserve,
597002,10 Red 2022,2,Bayswater,South Belgrave,9:00,Bayswater Junior Oval,
597015,10 White 2022,2,South Croydon,Mooroolbark,9:00,Benson Oval,
597020,10 Blue 2022,2,Glen Waverley Rovers,Norwood Purple,9:00,Brentwood Reserve,
597017,9 Red 2022,2,Lysterfield Grey,Rowville Knights,9:00,Carrington Park,
597015,10 White 2022,2,Coldstream,Croydon,9:00,Coldstream Reserve,
597017,9 Red 2022,2,Upper Ferntree Gully,Wantirna South,9:00,Dobson Park,
